target,split_name,prior_eis_feature_group,best_noneis_feature_group,best_noneis_source_report,n_conditions,mean_gain,median_gain,win_rate,worst_condition_gain,bootstrap_resamples,gain_mean,gain_p05,gain_p50,gain_p95,win_rate_mean
capacity_Ah_k1,c_rate_holdout_fold,C_E2_log_age_eis,F5_log_age_histograms,capacity_stress_features_v1_1_hgb50_report.json,12,-0.005279204538350871,-0.0035095425550991516,0.4166666666666667,-0.04008242056706683,1000,-0.005189712581242932,-0.013944372826768745,-0.005083016717289378,0.0037428119925803616,0.4159166666666667
capacity_Ah_k1,condition_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0004945740783821386,-0.0001705194455767882,0.4868421052631579,-0.05096643871141979,1000,-0.0005002413163646635,-0.0032304768057170477,-0.0004913758129108522,0.002100255333953375,0.48760526315789476
capacity_Ah_k1,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.006765480045867679,0.006105711222181004,0.8333333333333334,-0.0018274947887237138,1000,0.006649591182416639,0.0038406236811399626,0.006508188970422112,0.009803818506614607,0.8316666666666667
capacity_Ah_k1,temperature_holdout_fold,C_E3_stress_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.00041749565791934,-0.0006650577905295985,0.39473684210526316,-0.04795638706420738,1000,-0.00037992483534369896,-0.003335619585274966,-0.0003274608648385621,0.0022976222396969876,0.396
capacity_Ah_k1,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,5.1061093909377756e-05,0.0016185470386520344,0.5657894736842105,-0.045461690244952266,1000,7.752243584764092e-05,-0.0025125623640410324,0.00012021230984815432,0.0024947831315119896,0.5664736842105264
delta_capacity_Ah,c_rate_holdout_fold,C_E3_stress_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,12,0.003392623301369179,0.005546400363272988,0.6666666666666666,-0.05801461487098977,1000,0.0033930709536697363,-0.008943787326343218,0.0034471177614549798,0.014599709989930518,0.6660833333333334
delta_capacity_Ah,condition_fold,C_E3_stress_eis,F8_timestamp_weighted_stress,capacity_stress_features_v1_1_hgb50_report.json,76,-0.0015255354233879542,-0.000539693653949791,0.4473684210526316,-0.019626329995837674,1000,-0.0015350869364922646,-0.002687509968456958,-0.00151864069457463,-0.00045176812786906816,0.44793421052631577
delta_capacity_Ah,profile_holdout_fold,C_E0_state_time_eis,F1_state_time,capacity_hgb50_focused_report.json,12,0.0076397990132853295,0.007434359946194999,0.8333333333333334,-0.003117944927248678,1000,0.007506009304672207,0.004284723344092816,0.007424657873758965,0.010950130960878667,0.8343333333333334
delta_capacity_Ah,temperature_holdout_fold,C_E2_log_age_eis,F6_coupled_stress,capacity_stress_features_v1_1_hgb50_report.json,38,-0.002598369742762812,-0.0009707850979019626,0.4473684210526316,-0.054046263422183896,1000,-0.0026685685100664557,-0.0076144936781574225,-0.0025342951252958408,0.002255413689835445,0.4477894736842105
delta_capacity_Ah,voltage_window_holdout_fold,C_E2_log_age_eis,F4_state_log_age_scalar,capacity_hgb50_focused_report.json,76,0.0007340932397699554,-0.00011409809865072906,0.4868421052631579,-0.03220757111095415,1000,0.0006649070335441628,-0.0018162539450221925,0.0006269230827545562,0.0033479976143064093,0.4873157894736842
